Purchase Date;Ship Date;Returned;Return Date;Continent;Country;City;Store ID;Store Name;Store Type;Channel;Priority;Payment Method;Promotion ID;Promotion Name;Customer ID;Customer Segment;Loyalty Tier;Salesperson ID;Salesperson Department;Product ID;SKU;Product Name;Category;Subcategory;Brand;Order ID;Quantity;Unit Cost;Unit Price;Discount Amount;Tax Amount;Shipping Cost;Gross Sales;Net Sales;COGS;Gross Profit
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-20;2024-10-24;No;2024-02-02;Africa;Kenya;Kisumu;S008;Tech & Home - Kisumu;Warehouse;Online;Normal;Card;LOYALTY5;Loyalty 5%;C00776;Family;Bronze;E0052;Corporate;P0141;SKU-100140;Local Beverages Eco;Grocery;Beverages;Local;O900000;4;11;13;4;7;0;52;48;44;4
2024-02-16;2024-05-01;Yes;2024-04-09;Europe;United Kingdom;London;S016;Everyday Store - London;Mall;In-Store;Low;Cash;BUNDLE12;Bundle 12%;C00037;Student;Silver;E0014;New Sales;P0168;SKU-100167;Russell Hobbs Kitchen Premium;Home;Kitchen;Russell Hobbs;O900001;1;905;1099;747;292;60;4396;3649;3620;29
2024-04-24;2024-11-27;;2024-09-04;North America;United States;Chicago;S017;ValueMart - London;High Street;Partner;High;EFT;NONE;No Promotion;C00424;Budget;Gold;E0059;Upgrades;P0144;SKU-100143;Belkin Accessories Basic;Electronics;Accessories;Belkin;O900002;2;824;1431;243;95;45;1431;1188;824;364
2024-11-20;2024-05-15;;2024-03-20;;South Africa;Cape Town;S012;Main Street Retail - Chicago;Outlet;;;Wallet;WEEKEND10;Weekend 10%;C00234;Enterprise;None;E0013;Customer Care;P0116;SKU-100115;Bosch Appliances Value;Clothing;Appliances;Bosch;O900003;3;1070;1402;393;193;30;2804;2411;2140;271
2024-05-10;2024-10-30;;2024-07-09;;;Mombasa;S002;Everyday Store - Cape Town;;;;Finance;CLEARANCE15;Clearance 15%;C01009;Business;;E0018;;P0043;SKU-100042;LG Appliances Premium;;Women;LG;O900004;;144;199;6;29;80;199;193;144;49
2024-03-04;2025-01-02;;2024-03-19;;;Pretoria;S007;Tech & Home - Mombasa;;;;;;;C00221;;;E0054;;P0087;SKU-100086;Local Women Value (S);;Phones;Anker;O900005;;89;131;42;72;;524;482;356;126
2024-10-26;2024-03-26;;2024-05-14;;;Austin;S005;ValueMart - Pretoria;;;;;;;C01022;;;E0001;;P0035;SKU-100034;Anker Accessories Max;;Tablets;Logitech;O900006;;925;1341;805;365;;5364;4559;3700;859
2024-12-20;2024-11-02;;2024-02-12;;;Manchester;S011;City Outlet - Austin;;;;;;;C00794;;;E0042;;P0027;SKU-100026;Logitech Accessories Air;;Snacks;Google;O900007;;1215;2068;993;1092;;8272;7279;4860;2419
2024-09-19;2024-09-17;;2024-10-11;;;Birmingham;S018;ValueMart - Manchester;;;;;;;C00928;;;E0026;;P0076;SKU-100075;Belkin Accessories Plus;;Household;Apple;O900008;;1268;1760;246;121;;1760;1514;1268;246
2024-12-10;2024-03-03;;2024-09-09;;;Johannesburg;S021;Main Street Retail - Birmingham;;;;;;;C00446;;;E0046;;P0162;SKU-100161;Google Phones Air;;Kids;Samsung;O900009;;1068;1278;192;87;;1278;1086;1068;18
2024-12-29;2024-02-27;;2024-03-02;;;New York;S001;ValueMart - Johannesburg;;;;;;;C00237;;;E0007;;P0083;SKU-100082;Logitech Accessories Max;;Men;Acer;O900010;;731;1092;55;83;;1092;1037;731;306
2024-03-23;2024-01-08;;2024-05-12;;;Durban;S010;Everyday Store - New York;;;;;;;C00298;;;E0058;;P0098;SKU-100097;Apple Tablets Basic;;Laptops;HP;O900011;;492;872;17;128;;872;855;492;363
2024-06-09;2024-08-30;;2024-02-20;;;Los Angeles;S003;Everyday Store - Durban;;;;;;;C00735;;;E0049;;P0009;SKU-100008;Local Snacks Eco;;Cleaning;Dell;O900012;;1395;2251;1013;459;;6753;5740;4185;1555
2024-10-28;2024-08-09;;2024-07-14;;;Nairobi;S014;Tech & Home - Los Angeles;;;;;;;C00097;;;E0029;;P0178;SKU-100177;Samsung Phones Max;;;Lenovo;O900013;;16;28;0;4;;56;56;32;24
2024-05-15;2024-05-20;;2024-10-29;;;Seattle;S019;Everyday Store - Manchester;;;;;;;C00908;;;E0066;;P0159;SKU-100158;Local Household Eco;;;Dyson;O900014;;498;704;84;93;;704;620;498;122
2024-11-16;2024-05-18;;2024-07-11;;;;S020;Tech & Home - Birmingham;;;;;;;C00356;;;E0020;;P0048;SKU-100047;Local Kids Standard (L);;;Tefal;O900015;;60;15;2;2;;15;13;11;2
2024-09-15;2024-05-19;;2024-06-20;;;;S015;Main Street Retail - Los Angeles;;;;;;;C00956;;;E0041;;P0085;SKU-100084;Apple Tablets Max;;;Asus;O900016;;1837;73;26;18;;146;120;120;0
2024-09-28;2024-09-06;;2025-01-06;;;;S004;Tech & Home - Pretoria;;;;;;;C00150;;;E0043;;P0092;SKU-100091;Local Kids Premium (S);;;Philips;O900017;;24;2353;706;320;;4706;4000;3674;326
2024-02-28;2024-01-31;;2024-09-23;;;;S006;Everyday Store - Nairobi;;;;;;;C00680;;;E0032;;P0055;SKU-100054;Local Snacks Premium;;;;O900018;;54;40;10;10;;80;70;48;22
2024-06-13;2024-09-05;;2024-10-06;;;;S013;Tech & Home - Seattle;;;;;;;C00493;;;E0009;;P0115;SKU-100114;Apple Phones Basic;;;;O900019;;21;71;21;6;;142;121;108;13
2024-12-16;2024-03-22;;2024-06-18;;;;S009;ValueMart - New York;;;;;;;C01042;;;E0053;;P0132;SKU-100131;Local Men Standard (M);;;;O900020;;1103;37;12;233;;74;74;42;32
2024-02-07;2024-10-09;;2024-05-08;;;;;;;;;;;;C00016;;;E0006;;P0137;SKU-100136;Acer Laptops Basic;;;;O900021;;66;1459;244;370;;2918;2918;2206;712
2024-01-09;2024-07-05;;2024-06-16;;;;;;;;;;;;C00148;;;E0004;;P0166;SKU-100165;Russell Hobbs Kitchen Value;;;;O900022;;1984;101;51;200;;101;89;66;23
2024-02-24;2024-04-18;;2024-04-07;;;;;;;;;;;;C00530;;;E0002;;P0059;SKU-100058;HP Laptops Pro;;;;O900023;;854;2435;488;240;;4870;4626;3968;658
2024-07-19;2024-07-28;;2024-05-27;;;;;;;;;;;;C01200;;;E0028;;P0017;SKU-100016;Dell Laptops Pro;;;;O900024;;631;1275;316;232;;2550;2499;1708;791
2024-01-03;2024-04-05;;2024-01-31;;;;;;;;;;;;C00810;;;E0047;;P0077;SKU-100076;Local Kids Value (L);;;;O900025;;601;930;110;50;;3488;3000;1968;1032
2024-08-24;2024-11-12;;2024-08-08;;;;;;;;;;;;C00765;;;E0036;;P0054;SKU-100053;Lenovo Tablets Plus;;;;O900026;;73;736;19;16;;1860;1544;1262;282
2024-05-25;2024-01-14;;2024-03-24;;;;;;;;;;;;C00705;;;E0060;;P0030;SKU-100029;Dyson Cleaning Standard;;;;O900027;;812;125;7;341;;736;626;601;25
2024-08-07;2024-04-13;;2024-12-28;;;;;;;;;;;;C00372;;;E0021;;P0149;SKU-100148;Local Men Eco (L);;;;O900028;;1222;1136;567;5;;125;106;73;33
